ticker,date,adj_close
FLIR,2018-02-28,49.1
FL,2018-02-28,45.91
FITB,2018-02-28,33.05
FISV,2018-02-28,143.39
FIS,2018-02-28,97.18
FFIV,2018-02-28,148.52
FE,2018-02-28,32.33
FDX,2018-02-28,246.41
FCX,2018-02-28,18.6
FBHS,2018-02-28,60.66
FB,2018-02-28,178.32
FAST,2018-02-28,54.72
F,2018-02-28,10.61
EXR,2018-02-28,85.05
EXPE,2018-02-28,105.17
EXPD,2018-02-28,64.96
EXC,2018-02-28,37.04
EW,2018-02-28,133.67
EVHC,2018-02-28,38.5
ETR,2018-02-28,75.82
ETN,2018-02-28,80.7
ETFC,2018-02-28,52.23
ESS,2018-02-28,223.83
ESRX,2018-02-28,75.45
ES,2018-02-28,57.0
EQT,2018-02-28,50.31
EQR,2018-02-28,56.23
EQIX,2018-02-28,392.1
EOG,2018-02-28,101.42
EMR,2018-02-28,71.06
EMN,2018-02-28,101.08
EL,2018-02-28,138.44
EIX,2018-02-28,60.59
EFX,2018-02-28,113.0
ED,2018-02-28,74.89
ECL,2018-02-28,130.45
EBAY,2018-02-28,42.86
EA,2018-02-28,123.7
DXC,2018-02-28,102.54
DWDP,2018-02-28,70.3
DVN,2018-02-28,30.67
DVA,2018-02-28,72.02
DUK,2018-02-28,75.34
DTE,2018-02-28,100.78
DRI,2018-02-28,92.19
DRE,2018-02-28,24.77
DOV,2018-02-28,100.1
DLTR,2018-02-28,102.64
DLR,2018-02-28,100.64
DISH,2018-02-28,41.69
DISCK,2018-02-28,22.98
DISCA,2018-02-28,24.32
DHR,2018-02-28,97.78
DHI,2018-02-28,41.9
DGX,2018-02-28,103.05
DG,2018-02-28,94.59
DFS,2018-02-28,78.83
DE,2018-02-28,160.87
DAL,2018-02-28,53.9
D,2018-02-28,74.07
CXO,2018-02-28,150.8
CVX,2018-02-28,111.92
CVS,2018-02-28,67.73
CTXS,2018-02-28,92.0
CTSH,2018-02-28,82.02
CTL,2018-02-28,17.67
CTAS,2018-02-28,170.66
CSX,2018-02-28,53.72
CSCO,2018-02-28,44.78
CRM,2018-02-28,116.25
CPRT,2018-02-28,46.81
CPB,2018-02-28,43.05
COTY,2018-02-28,19.32
COST,2018-02-28,190.9
COP,2018-02-28,54.31
COO,2018-02-28,230.52
COL,2018-02-28,137.72
COG,2018-02-28,24.16
COF,2018-02-28,97.93
CNP,2018-02-28,27.05
CNC,2018-02-28,101.42
CMS,2018-02-28,42.45
CMI,2018-02-28,168.17
CMG,2018-02-28,318.41
CME,2018-02-28,166.16
CMCSA,2018-02-28,36.21
CMA,2018-02-28,97.22
CLX,2018-02-28,129.08
CL,2018-02-28,68.97
CINF,2018-02-28,74.59
CI,2018-02-28,195.89
CHTR,2018-02-28,341.93
CHRW,2018-02-28,93.36
CHD,2018-02-28,49.19
CFG,2018-02-28,43.49
CF,2018-02-28,41.24
CERN,2018-02-28,64.16
CELG,2018-02-28,87.12
CDNS,2018-02-28,38.77
CCL,2018-02-28,66.91
CCI,2018-02-28,110.06
CBS,2018-02-28,52.97
CBOE,2018-02-28,112.01
CB,2018-02-28,141.92
CAT,2018-02-28,154.63
CAH,2018-02-28,69.21
CAG,2018-02-28,36.13
CA,2018-02-28,35.1
C,2018-02-28,75.49
BXP,2018-02-28,118.87
BWA,2018-02-28,49.08
BSX,2018-02-28,27.26
BR,2018-02-28,100.38
BMY,2018-02-28,66.2
BLL,2018-02-28,39.95
BLK,2018-02-28,549.43
BK,2018-02-28,57.03
BIIB,2018-02-28,288.99
BHGE,2018-02-28,26.4
BHF,2018-02-28,54.27
BEN,2018-02-28,38.67
BDX,2018-02-28,222.02
BBY,2018-02-28,72.44
BBT,2018-02-28,54.35
BAX,2018-02-28,67.79
BAC,2018-02-28,32.1
BA,2018-02-28,362.21
AZO,2018-02-28,664.72
AXP,2018-02-28,97.51
AWK,2018-02-28,79.36
AVY,2018-02-28,118.15
AVGO,2018-02-28,246.46
AVB,2018-02-28,156.02
ATVI,2018-02-28,73.13
ARNC,2018-02-28,24.39
ARE,2018-02-28,121.31
APTV,2018-02-28,91.33
APH,2018-02-28,91.39
APD,2018-02-28,160.79
APC,2018-02-28,57.04
APA,2018-02-28,34.15
AOS,2018-02-28,64.19
AON,2018-02-28,140.32
ANTM,2018-02-28,235.38
ANSS,2018-02-28,159.94
ANDV,2018-02-28,89.62
AMZN,2018-02-28,1512.45
AMT,2018-02-28,139.33
AMP,2018-02-28,156.44
AMGN,2018-02-28,183.77
AMG,2018-02-28,189.36
AME,2018-02-28,75.74
AMD,2018-02-28,12.11
AMAT,2018-02-28,57.59
ALXN,2018-02-28,117.45
ALLE,2018-02-28,84.11
ALL,2018-02-28,92.26
ALK,2018-02-28,64.5
ALGN,2018-02-28,262.52
ALB,2018-02-28,100.43
AKAM,2018-02-28,67.46
AJG,2018-02-28,69.11
AIZ,2018-02-28,85.47
AIV,2018-02-28,38.66
AIG,2018-02-28,57.34
AGN,2018-02-28,154.22
AFL,2018-02-28,88.88
AET,2018-02-28,177.06
AES,2018-02-28,10.87
AEP,2018-02-28,65.58
AEE,2018-02-28,54.3
ADSK,2018-02-28,117.47
ADS,2018-02-28,240.96
ADP,2018-02-28,115.35
ADM,2018-02-28,41.52
ADI,2018-02-28,90.15
ADBE,2018-02-28,209.13
ACN,2018-02-28,161.01
ABT,2018-02-28,60.33
ABMD,2018-02-28,268.18
ABC,2018-02-28,95.16
ABBV,2018-02-28,115.83
AAPL,2018-02-28,178.12
AAP,2018-02-28,114.25
AAL,2018-02-28,54.25
A,2018-02-28,68.59
