Date,Open,High,Low,Close,Adj Close
2013-10-01,119.690002,119.82,118.800003,119.620003,105.68328100000001
2013-10-02,119.129997,119.589996,118.440002,119.199997,105.312225
2013-10-03,118.709999,119.110001,117.889999,118.550003,104.737961
2013-10-04,118.370003,119.709999,118.129997,119.400002,105.488914
2013-10-07,118.559998,119.269997,118.279999,118.690002,104.86165600000001
2013-10-08,118.720001,119.220001,117.099998,117.160004,103.509911
2013-10-09,117.269997,117.959999,116.650002,117.57,103.872139
2013-10-10,118.599998,119.339996,118.32,119.339996,105.435905
2013-10-11,119.160004,120.769997,118.389999,120.720001,106.65513600000001
2013-10-14,120.260002,121.699997,120.0,121.400002,107.255928
2013-10-15,121.279999,121.379997,119.790001,119.82,105.860001
2013-10-16,120.860001,120.940002,120.139999,120.940002,106.849503
2013-10-17,120.739998,122.870003,120.709999,122.620003,108.333771
2013-10-18,122.870003,123.449997,122.400002,122.839996,108.52813700000002
2013-10-21,122.790001,123.309998,122.68,123.25,108.89036599999999
2013-10-22,123.360001,124.32,123.279999,123.800003,109.376305
2013-10-23,123.43,123.730003,122.5,123.199997,108.84619099999999
2013-10-24,122.959999,124.959999,122.699997,123.489998,109.102402
2013-10-25,123.050003,124.459999,122.870003,124.41999799999999,109.924057
2013-10-28,124.129997,125.32,123.800003,124.91999799999999,110.365784
2013-10-29,125.08000200000001,125.480003,124.620003,125.279999,110.68386100000001
2013-10-30,125.57,125.980003,124.760002,124.790001,110.250923
2013-10-31,124.970001,126.379997,124.949997,125.849998,111.187431
2013-11-01,126.760002,126.93,125.120003,125.900002,111.23162099999999
2013-11-04,125.980003,126.489998,125.559998,126.32,111.60269199999999
2013-11-05,125.75,126.459999,124.860001,126.120003,111.425995
2013-11-06,126.459999,127.32,126.230003,127.129997,112.31831399999999
2013-11-07,127.150002,127.879997,126.230003,126.410004,111.68220500000001
2013-11-08,126.029999,128.020004,126.029999,127.989998,113.07811000000001
2013-11-11,127.540001,128.169998,127.25,127.949997,113.042786
2013-11-12,128.149994,128.58999599999999,127.550003,128.360001,113.405006
2013-11-13,127.860001,128.66000400000001,127.43,128.58999599999999,113.60821499999999
2013-11-14,128.970001,130.119995,128.800003,129.78999299999998,114.668411
2013-11-15,129.149994,130.0,128.979996,129.850006,114.721428
2013-11-18,129.91000400000001,130.5,129.779999,130.130005,114.96878799999999
2013-11-19,130.020004,130.779999,129.919998,130.050003,114.89810200000001
2013-11-20,129.5,130.300003,128.550003,129.179993,114.68944499999999
2013-11-21,129.690002,130.41000400000001,129.58999599999999,130.350006,115.728241
2013-11-22,130.360001,132.550003,129.820007,131.020004,116.323074
2013-11-25,131.800003,131.869995,130.940002,131.229996,116.509506
2013-11-26,131.449997,132.639999,131.330002,132.149994,117.32629399999999
2013-11-27,132.630005,133.649994,131.940002,133.5,118.524887
2013-11-29,133.509995,134.16000400000001,133.33999599999999,133.509995,118.533791
2013-12-02,131.669998,132.0,127.389999,127.68,113.35774199999999
2013-12-03,126.059998,127.389999,125.150002,126.599998,112.39888799999999
2013-12-04,125.949997,127.589996,125.489998,126.459999,112.27458999999999
2013-12-05,126.400002,127.650002,126.220001,126.83000200000001,112.603081
2013-12-06,128.190002,128.800003,127.849998,128.610001,114.183411
2013-12-09,128.800003,129.179993,128.389999,128.570007,114.147903
2013-12-10,128.070007,128.529999,127.529999,127.550003,113.242332
2013-12-11,128.740005,129.66000400000001,126.709999,126.769997,112.549797
2013-12-12,126.629997,127.389999,125.980003,126.58000200000001,112.381142
2013-12-13,126.650002,127.349998,125.980003,126.43,112.247955
2013-12-16,126.769997,128.770004,126.470001,127.660004,113.33998100000001
2013-12-17,130.419998,131.619995,129.979996,131.389999,116.651596
2013-12-18,131.479996,135.809998,131.479996,135.800003,120.566895
2013-12-19,135.059998,136.520004,134.729996,136.41000400000001,121.10845900000001
2013-12-20,136.779999,138.08999599999999,136.600006,136.720001,121.38368999999999
2013-12-23,137.100006,137.429993,136.320007,136.800003,121.45472
2013-12-24,137.229996,137.33999599999999,136.350006,136.990005,121.623421
2013-12-26,137.300003,138.679993,137.029999,138.28999299999998,122.777542
2013-12-27,138.779999,139.399994,138.550003,139.350006,123.71866599999998
2013-12-30,139.080002,139.649994,138.78999299999998,139.419998,123.78080700000001
2013-12-31,140.0,140.429993,139.479996,140.25,124.517715
2014-01-02,138.050003,139.0,137.610001,138.130005,122.63551299999999
