date,open,high,low,close,adj_close
2017-12-29,98.14,98.43,96.71,96.71,96.71
2017-12-28,98.19,98.39,97.5175,97.79,97.79
2017-12-27,97.73,98.23,97.44,98.09,98.09
2017-12-26,98.15,98.36,97.05,97.75,97.75
2017-12-22,98.07,98.69,97.71,98.21,98.21
2017-12-21,98.02,98.3523,97.72,97.91,97.91
2017-12-20,97.89,98.9,97.22,97.41,97.41
2017-12-19,98.5,98.55,97.7,97.92,97.92
2017-12-18,97.87,99.1,97.55,98.19,98.19
2017-12-15,97.06,97.88,96.64,97.45,97.45
2017-12-14,97.345,97.44,95.65,96.3,96.3
2017-12-13,96.6,98.87,96.6,97.35,97.35
2017-12-12,96.62,96.69,94.76,96.3,96.3
2017-12-11,95.88,97.31,95.77,96.47,96.47
2017-12-08,94.62,96.54,94.62,95.95,95.95
2017-12-07,94.4,94.57,92.9,94.24,94.24
2017-12-06,95.7,95.79,93.47,94.4,94.4
2017-12-05,95.45,96.72,95.0,95.41,95.41
2017-12-04,96.37,96.65,94.65,95.22,95.22
2017-12-01,97.19,98.52,94.3,96.32,96.32
2017-11-30,96.36,97.53,96.21,96.92,96.92
2017-11-29,95.76,96.35,95.03,95.82,95.82
2017-11-28,95.94,96.89,94.83,95.42,95.42
2017-11-27,94.69,95.63,94.44,95.42,95.42
2017-11-24,94.0,94.97,93.55,94.72,94.72
2017-11-22,94.69,95.4,94.22,94.47,94.47
2017-11-21,93.7,95.4,93.6,94.68,94.68
2017-11-20,93.92,94.31,92.89,93.6,93.6
2017-11-17,93.8,94.49,93.57,93.61,93.61
2017-11-16,94.44,95.165,93.28,94.47,94.47
2017-11-15,94.63,94.7,92.715,93.76,93.76
2017-11-14,94.64,94.91,93.1179,94.75,94.75
2017-11-13,95.37,95.42,94.0383,95.12,95.12
2017-11-10,95.35,95.9399,93.56,95.43,95.43
2017-11-09,95.29,96.37,95.26,95.89,95.89
2017-11-07,92.98,95.68,92.96,93.96,93.96
2017-11-03,91.3,92.555,90.91,92.31,92.31
2017-11-02,92.08,92.34,90.19,91.02,91.02
2017-11-01,90.78,93.34,90.27,92.44,92.44
2017-10-31,90.88,91.82,90.04,90.25,90.25
2017-10-30,91.7,92.06,88.91,90.96,90.96
2017-10-27,92.7,94.97,90.75,91.93,91.93
2017-10-26,91.86,91.86,85.24,89.56,89.56
2017-10-25,91.78,92.08,90.73,91.79,91.79
2017-10-24,94.0,94.14,90.77,91.69,91.69
2017-10-23,95.93,96.0,94.45,94.51,94.51
2017-10-20,96.78,98.26,94.89,96.1,96.1
2017-10-19,95.5,96.62,94.51,96.48,96.48
2017-10-18,92.35,96.44,92.2044,96.04,96.04
2017-10-17,91.09,92.78,90.9501,92.17,92.17
2017-10-16,91.01,91.99,90.56,91.04,91.04
2017-10-13,91.41,91.85,90.54,90.67,90.67
2017-10-12,91.77,91.99,90.91,91.42,91.42
2017-10-11,91.47,92.61,90.97,92.38,91.737775363893
2017-10-10,90.71,91.22,89.7,91.17,90.536187269172
2017-10-09,90.57,91.19,90.1514,90.78,90.148898544428
2017-10-06,90.2,91.33,89.95,90.49,89.860914620899
2017-10-05,89.69,90.56,89.48,90.18,89.553069737128
2017-10-04,89.52,90.44,89.305,89.9,89.275016293721
2017-10-03,90.44,90.64,89.02,89.7,89.076406691288
2017-10-02,89.74,90.41,88.91,90.39,89.761609819683
2017-09-29,88.69,89.35,87.67,88.86,88.242246361069
2017-09-28,86.67,90.95,86.38,88.96,88.341551162285
2017-09-27,85.35,85.3919,83.19,84.75,84.160819031067
2017-09-26,86.35,86.91,85.161,85.35,84.756647838366
2017-09-25,86.92,87.78,86.4,86.57,85.968166413209
2017-09-22,87.22,87.75,86.77,87.48,86.87184010428
2017-09-21,87.36,87.7,86.67,87.41,86.802326743428
2017-09-20,86.4,87.475,86.25,87.41,86.802326743428
2017-09-19,85.54,86.66,85.38,86.37,85.769556810776
2017-09-18,87.47,87.81,85.075,85.32,84.726856398001
2017-09-15,89.39,89.69,86.52,87.37,86.762604822942
2017-09-14,88.23,89.32,88.15,89.22,88.599743645449
2017-09-13,87.58,88.84,87.416,88.47,87.854957636324
2017-09-12,86.97,87.97,86.5,87.75,87.139963067565
2017-09-11,84.46,87.1,84.38,87.0,86.39517705844
2017-09-08,81.29,86.09,81.11,85.34,84.746717358245
2017-09-07,77.29,82.45,77.0,81.78,81.211466434934
2017-09-06,75.61,77.455,75.35,77.05,76.514349337389
2017-09-05,75.39,75.58,74.73,75.25,74.72686291549
2017-09-01,75.59,76.0,75.26,75.42,74.895681077558
2017-08-31,74.11,75.4,73.9201,75.3,74.776515316098
2017-08-30,73.621,74.18,73.58,73.92,73.406109059309
2017-08-29,72.78,73.9,72.78,73.89,73.376317618944
2017-08-28,72.67,73.57,72.56,73.32,72.81028025201
2017-08-25,72.22,72.78,72.21,72.48,71.97611992179
2017-08-24,71.72,72.31,71.4,72.11,71.608692157289
2017-08-23,71.29,71.9,71.27,71.52,71.022793830111
2017-08-22,70.91,71.88,70.76,71.75,71.251194872909
2017-08-21,69.92,70.825,69.91,70.7,70.208494460135
2017-08-18,69.52,70.4401,69.47,69.96,69.473638931132
2017-08-17,70.6,70.68,69.83,69.85,69.364403649794
2017-08-16,70.49,70.75,70.105,70.42,69.930441016728
2017-08-15,71.08,71.14,70.2801,70.34,69.850997175755
2017-08-14,71.23,71.29,70.7,70.82,70.327660221595
2017-08-11,70.74,71.01,70.43,70.63,70.138981099283
2017-08-10,72.01,72.19,70.39,70.44,69.950301976972
2017-08-09,71.26,72.14,71.0999,72.02,71.519317836194
2017-08-08,71.33,71.91,71.01,71.47,70.973141429502
2017-08-07,70.94,71.23,70.64,71.22,70.724879426461
2017-08-04,71.17,71.37,70.35,70.99,70.496478383663
2017-08-03,70.61,71.01,70.36,70.99,70.496478383663
2017-08-02,70.25,70.74,69.93,70.71,70.218424940256
2017-08-01,70.03,70.84,69.85,70.38,69.890719096242
2017-07-31,70.52,70.58,69.83,69.91,69.423986530524
2017-07-28,71.64,72.44,69.38,70.44,69.950301976972
2017-07-27,72.78,72.8017,70.88,71.73,71.231333912666
2017-07-26,72.37,72.6896,71.95,72.59,72.085355203128
2017-07-25,74.4,74.55,72.47,72.52,72.015841842277
2017-07-24,74.63,74.75,73.8375,73.91,73.396178579187
2017-07-21,73.98,75.04,73.85,74.63,74.111173147947
2017-07-20,72.99,74.22,72.945,74.01,73.495483380404
2017-07-19,72.48,72.77,72.02,72.77,72.264103845318
2017-07-18,72.63,72.86,71.75,72.23,71.727857918749
2017-07-17,73.1,73.47,72.69,72.7,72.194590484467
2017-07-14,72.62,73.23,72.51,73.11,72.601740169455
2017-07-13,71.94,72.895,71.67,72.63,72.125077123615
2017-07-12,71.51,72.13,71.3,71.88,71.380291114491
2017-07-11,71.89,72.17,71.33,71.84,70.710977849766
2017-07-10,71.8,72.225,71.5789,71.83,70.701135007637
2017-07-07,72.11,72.11,71.63,72.03,70.897991850203
2017-07-06,72.24,72.45,71.41,71.73,70.602706586354
2017-07-05,72.48,72.74,71.99,72.48,71.340919745977
2017-07-03,72.76,72.99,72.37,72.42,71.281862693207
