Date,Open,High,Low,Close,Adj Close,Volume
2018-09-04,31.780001000000002,31.940001000000002,31.48,31.860001,31.860001,25162200
2018-09-05,31.75,32.049999,31.540001,32.02,32.02,26723600
2018-09-06,32.130001,32.310001,32.0,32.18,32.18,25646100
2018-09-07,32.16,32.389998999999996,32.09,32.119999,32.119999,25757800
2018-09-10,32.279999,32.689999,32.200001,32.389998999999996,32.389998999999996,26269000
2018-09-11,32.48,32.799999,32.470001,32.669998,32.669998,26353800
2018-09-12,32.84,33.650002,32.84,33.419998,33.419998,49637000
2018-09-13,33.439999,33.689999,33.09,33.68,33.68,34605800
2018-09-14,33.610001000000004,33.650002,33.299999,33.599998,33.599998,33184800
2018-09-17,33.599998,33.810001,33.43,33.619999,33.619999,25544300
2018-09-18,33.560001,33.919998,33.380001,33.720001,33.720001,33661900
2018-09-19,33.93,33.959998999999996,33.25,33.369999,33.369999,30996000
2018-09-20,33.490002000000004,33.529999,33.150002,33.439999,33.439999,24775800
2018-09-21,34.049999,34.240002000000004,33.779999,33.779999,33.779999,130157100
