Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
AMZN,F,GE,GOOG,INTC,KO,MMM,NFLX,NVDA,T
2039.5100100000002,9.47,12.550378,1197.0,47.959998999999996,44.382481,208.600006,363.600006,283.700012,31.860001
1994.819946,9.49,12.441417,1186.47998,47.720001,44.997257,211.830002,341.179993,278.420013,32.02
1958.310059,9.43,12.391889,1171.439941,47.259997999999996,45.383965,212.74000499999997,346.459991,272.72000099999997,32.18
1952.069946,9.27,12.282927,1164.829956,46.450001,45.334389,212.57000699999998,348.679993,271.859985,32.119999
1939.0100100000002,9.38,12.391889,1164.640015,46.299999,45.67152,212.92999300000002,348.410004,274.730011,32.389998999999996
1987.1500239999998,9.31,12.213588,1177.359985,44.93,45.631855,211.77999900000003,355.929993,272.799988,32.669998
1990.0,9.34,12.490944,1162.819946,44.93,45.850002,206.71000700000002,369.950012,268.200012,33.419998
1989.869995,9.37,12.59,1175.329956,45.57,45.830002,209.050003,368.149994,271.339996,33.68
1970.189941,9.45,12.68,1172.530029,45.540001000000004,45.990002000000004,207.880005,364.559998,276.429993,33.599998
1908.030029,9.55,12.7,1156.050049,45.419998,46.32,209.529999,350.350006,273.929993,33.619999
1941.050049,9.58,12.66,1161.219971,46.099998,45.93,211.52999900000003,367.649994,271.019989,33.720001
1926.4200440000002,9.78,12.86,1171.089966,46.150002,45.959998999999996,213.11999500000002,366.959991,271.980011,33.369999
1944.300049,9.81,12.46,1186.869995,47.200001,46.639998999999996,215.270004,365.359985,266.27999900000003,33.439999
1915.0100100000002,9.85,12.17,1166.089966,46.66,46.580002,216.330002,361.190002,263.450012,33.779999
1934.359985,9.59,11.74,1173.369995,46.91,46.07,213.50999500000003,369.609985,265.700012,33.91
1974.550049,9.39,11.27,1184.650024,45.91,45.68,210.63999900000002,369.429993,268.410004,33.759997999999996
1974.8499760000002,9.27,11.39,1180.48999,45.700001,45.849998,211.07000699999998,377.880005,266.920013,33.349998
