,0
AAPL,228.36000099999998
AMZN,2039.5100100000002
GOOG,1268.329956
HD,213.850006
IBM,171.052673
MCD,175.027328
MMM,253.66706800000003
NFLX,418.97000099999997
NVDA,283.700012
PSX,122.485252
TSLA,385.0
TXN,117.864029
