Date,AAPL,AMZN,GOOG,HD,IBM,MCD,MMM,NFLX,NVDA,PSX,TSLA,TXN
2013-10-01,63.523125,320.950012,440.63409400000006,68.56147,154.786987,81.967316,105.68328100000001,46.374287,14.721354000000002,50.25465,193.0,35.529053000000005
2013-10-02,63.731426,320.51001,441.125916,68.615379,153.607681,81.24254599999999,105.312225,47.247143,14.711886999999999,51.365639,180.949997,35.405941
2013-10-03,62.930801,314.76001,435.21435499999995,68.219803,152.69413799999998,80.722412,104.737961,45.959998999999996,14.560412,51.695469,173.309998,35.370758
2013-10-04,62.88134,319.040009,433.356445,68.129913,152.893463,80.747986,105.488914,46.751427,14.759222,51.356956,180.979996,35.115726
2013-10-07,63.4958,310.02999900000003,430.072784,67.545525,151.157715,80.45809200000001,104.86165600000001,45.451427,14.759222,50.25465,183.070007,35.054169
2013-10-08,62.609249,303.230011,424.07678200000004,66.772324,148.425415,80.099968,103.509911,43.188572,14.636149,49.378017,174.729996,34.508915
2013-10-09,63.34478000000001,298.230011,425.16470300000003,66.655449,150.584732,79.528687,103.872139,41.204285,14.40894,49.3867,168.779999,34.552890999999995
2013-10-10,63.74183299999999,305.170013,431.314728,67.88716099999999,153.449905,80.526314,105.435905,43.427143,14.569881,50.836182,172.929993,35.282821999999996
2013-10-11,64.15451,310.890015,433.177612,68.615379,154.60426299999997,80.782104,106.65513600000001,42.978573,14.446809,52.016613,178.699997,35.511475
2013-10-14,64.574989,310.700012,435.22427400000004,68.642372,155.276962,80.765045,107.255928,46.337143,14.664551999999999,52.49398000000001,179.720001,35.660976
2013-10-15,64.918671,306.399994,438.155212,67.59045400000001,153.358566,79.980598,105.860001,45.955715000000005,14.588814000000001,51.643394,183.940002,35.397141
2013-10-16,65.235016,310.48999,446.11346399999996,67.37469499999999,155.077667,81.191376,106.849503,46.125713,14.768688000000001,52.71096800000001,183.559998,35.836868
2013-10-17,65.676331,310.769989,441.523315,68.09393299999999,145.194763,81.404556,108.333771,47.157143,14.797091,54.004238,182.800003,35.748913
2013-10-18,66.247795,328.929993,502.43713399999996,67.14993299999999,144.32273899999998,81.174316,108.52813700000002,47.642857,14.967498999999998,55.097851,183.399994,35.801682
2013-10-21,67.87116999999999,326.440002,498.408325,67.086998,143.558716,80.654205,108.89036599999999,50.712856,15.005366,55.471077,172.600006,36.047924
2013-10-22,67.6772,332.540009,500.24636799999996,67.30274200000001,145.311096,81.106133,109.376305,46.074287,14.929631,56.312984,171.53999299999998,35.423515
2013-10-23,68.339828,326.76001,512.3724980000001,67.50058,145.975494,80.330177,108.84619099999999,47.177143,14.674017999999998,56.122046999999995,164.5,34.939846
2013-10-24,69.24458299999999,332.209991,509.46145599999994,69.02894599999999,147.66133100000002,80.730949,109.102402,47.317142,14.569881,54.880867,173.149994,35.071766
2013-10-25,68.470024,363.390015,504.31988499999994,68.552452,146.872391,80.816216,109.924057,46.861427,14.427872,55.028416,169.66000400000001,35.379551
2013-10-28,68.980301,358.160004,504.22052,68.38163,147.287643,81.319275,110.365784,44.857143,14.399472,54.92426700000001,162.860001,36.065509999999996
2013-10-29,67.261932,362.700012,514.771912,69.676262,151.249069,81.89909399999999,110.68386100000001,46.757141,14.418406,55.670708,164.470001,36.995715999999994
2013-10-30,68.33201600000001,361.079987,511.88070700000003,70.01790600000001,149.612991,81.88205,110.250923,45.448570000000004,14.40894,56.616779,159.220001,36.960281
2013-10-31,68.045624,364.02999900000003,511.960205,70.026894,148.83235200000001,82.29985,111.187431,46.068573,14.380537,55.922413,159.940002,37.288074
2013-11-01,67.698029,359.0,510.20162999999997,69.217735,148.84896899999998,82.913765,111.23162099999999,47.03857,14.446809,55.662022,162.169998,37.234913
2013-11-04,68.57285300000001,358.73999,509.73962400000005,69.22674599999999,149.712723,82.973473,111.60269199999999,48.228573,14.030254999999999,55.931087,175.199997,37.199474
2013-11-05,68.403633,358.890015,507.45947300000006,68.912064,147.70288100000002,83.058746,111.425995,48.785713,14.011320999999999,55.783539000000005,176.809998,37.11974
2013-11-06,68.209824,356.179993,508.070496,68.705299,149.614944,83.476555,112.31831399999999,47.947144,14.105989000000001,55.86166,151.16000400000001,37.332367
2013-11-07,67.106003,343.559998,500.71832300000005,68.048973,150.29126000000002,82.879677,111.68220500000001,46.694286,13.774642000000002,55.41032,139.770004,36.898266
2013-11-08,68.16268199999999,350.309998,504.732208,67.860184,150.282883,82.717667,113.07811000000001,47.842857,14.730823000000001,56.72961,137.949997,37.190616999999996
2013-11-11,67.964958,354.380005,502.02978499999995,67.761299,152.695877,82.785881,113.042786,48.272858,14.853892000000002,56.842449,144.699997,37.022296999999995
2013-11-12,68.09066,349.52999900000003,502.620941,68.489525,152.854507,83.271896,113.405006,47.675713,14.882295999999998,57.113129,137.800003,37.075455
2013-11-13,68.171844,356.22000099999997,512.899109,69.76616700000001,153.25531,83.655586,113.60821499999999,47.897144,15.28938,57.671951,138.699997,37.553841
2013-11-14,69.157845,367.399994,514.270142,70.970894,152.13648999999998,83.186638,114.668411,48.938572,15.35565,58.990398,137.600006,37.766464
2013-11-15,68.74274399999999,369.170013,513.4405519999999,71.95084399999999,152.954727,82.640923,114.721428,49.965714,15.308316,58.588753000000004,135.449997,37.695591
2013-11-18,67.909966,366.179993,512.442078,71.627213,154.02346799999998,83.263382,114.96878799999999,48.824287,14.939096,58.684810999999996,121.58000200000001,37.598145
2013-11-19,68.030441,364.940002,509.28756699999997,72.265526,154.674744,83.54476899999999,114.89810200000001,48.184284000000005,14.696378,59.173767000000005,126.089996,37.341225
